Historical Period,height,diam,width,depth,num_period,medium_num,classif_num,culture_num
Antiquity,13.2,-1.0,13.0,-1.0,4.0,3.0460615153788453,2.533376226475792,2.1368655657988045
Antiquity,4.75,-1.0,3.18,-1.0,4.0,3.08715953307393,3.080420616113744,3.849557522123893
Antiquity,-1.0,13.6,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.995656894679696
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.8318584070796464,3.0598851517637407,3.2494577006507592
Antiquity,0.5,-1.0,4.1,-1.0,4.0,2.8318584070796464,2.533376226475792,3.981916817359856
Antiquity,3.2,-1.0,7.9,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9941093308199815
Antiquity,25.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
Antiquity,5.7,-1.0,2.8,0.7,4.0,3.0460615153788453,3.998734977862112,4.0
Antiquity,2.1,-1.0,0.1,-1.0,4.0,2.9278826838087584,3.040983606557377,3.1739130434782608
Antiquity,11.3,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.995656894679696
Antiquity,6.7,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9059653916211294
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.9278826838087584,3.0598851517637407,3.9722222222222223
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,2.0561683195847618,4.0
Antiquity,29.4,-1.0,13.7,-1.0,4.0,3.0460615153788453,3.998734977862112,3.995656894679696
Antiquity,3.1,-1.0,2.4,0.7,4.0,3.8754961630060873,3.9998039600078417,3.9941093308199815
Antiquity,5.6,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,2.2,-1.0,2.6,1.2,4.0,2.9278826838087584,3.993197278911565,3.9941093308199815
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,12.7,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.99710843373494
Antiquity,8.1,-1.0,-1.0,-1.0,4.0,2.1820083682008367,3.995565410199557,4.0
Antiquity,12.1,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9059653916211294
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,4.0
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.655913978494624,2.533376226475792,3.981916817359856
Antiquity,-1.0,4.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,11.7,-1.0,2.3,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,-1.0,9.1,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.995656894679696
Antiquity,10.8,12.7,15.9,-1.0,4.0,3.8754961630060873,2.0561683195847618,3.9
Antiquity,9.2,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,49.5,-1.0,201.3,-1.0,4.0,1.7280405405405406,2.1531914893617023,2.1368655657988045
Antiquity,7.3,-1.0,18.7,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,1.9,-1.0,1.4,0.6,4.0,3.08715953307393,3.993197278911565,3.9941093308199815
Antiquity,43.8,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,7.0,-1.0,4.7,2.4,4.0,3.08715953307393,3.080420616113744,3.3641912512716177
Antiquity,19.1,-1.0,25.4,4.4,4.0,3.8754961630060873,3.993417115499701,4.0
Antiquity,-1.0,15.4,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.99710843373494
Antiquity,-1.0,9.8,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,5.9,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.995656894679696
Antiquity,13.0,-1.0,8.1,-1.0,4.0,3.0460615153788453,2.533376226475792,3.7804878048780486
Antiquity,14.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.99710843373494
